who	cuisine	genre	purpose	hotorcold	taste	materials	when	color	is_standard	url
1	数の子	japanese							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/25/46/4625/rc234x174_1609301545_2318ff80bed3947bf9799bbc168dc085.jpg
1	ふき土佐煮	japanese							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/76/44/4476/rc234x174_1609201819_ea0708bcffd66e88ea59176b45497e4d.jpg
0	蛍烏賊沖漬け	japanese							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/81/44/4481/rc234x174_1610051904_3ddaba3fa6bbc6de97e6d8bc4c37b3c1.jpg
0	牡蠣釜飯	japanese							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/80/44/4480/rc234x174_1609201828_f021bcd121ee0ca6ee677eb2b25be7ba.jpg
1	寿司屋直伝　三色巻き（鉄火・かっぱ・たくあん）	japanese							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/00/49/4900/rc234x174_1701201722_51a560d317d856461708ba0c7ef973b4.jpg
0	銀ダラの粕漬け	japanese							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/82/48/4882/rc234x174_1701201844_429e219873b60dc9f39997aaef14dd2a.jpg
0	うどん屋直伝　揚げ餅うどん	japanese							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/30/49/4930/rc234x174_1702221848_ef282cf603a6b1d86cbe16df85f8dcab.jpg
0	季節野菜の鶏そぼろ餡かけ	japanese							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/31/49/4931/rc234x174_1702221855_a6017b63adfd1b5a10e2e09f32fe1898.jpg
2	大根サラダ	japanese	sidle	cold	salty	vegetable	lunch,dinner	white	TRUE	https://c-chefgohan.gnst.jp/imgdata/recipe/32/49/4932/rc234x174_1702221908_0869cd6bfee33f5695c301cd6e909ef9.jpg
2	合鴨と茄子の治部煮	japanese							FALSE	https://c-chefgohan.gnst.jp/imgdata/recipe/03/50/5003/rc234x174_1703220959_01586f2a0ddf1ebaf8141df069de48de.jpg
